"","HPC1401","HPC1403","HPC1406","HPC1408","HPC1409","HPC1410","HPC1412","HPC1413","HPC1414","HPC1415","HPC1416","HPC1417","HPC1418","HPC1419","HPC1420","HPC1421","HPC1422","HPC1423","HPC1425","HPC1426","HPC1428","HPC1429","HPC1430","HPC1417KNZ"
"5e0b1e533d803d7c69e76c2c42359773",5,10,4,1,0,0,68,0,0,8,0,3,0,3,3,0,2,0,0,0,9,63,35,3
"5ea389ed11ea65cbf691d96f33d659db",0,0,0,0,0,0,0,0,0,7,165,0,2,10,247,0,0,0,0,0,0,0,0,0
"5ede7fd03d722dc5639044b5a606c4d9",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5f1d0897425263d44b7b2059d82493f0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0
"5f52549cdb824e04d23f02bc080d9a8a",0,0,0,0,0,0,76,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,27
"5f55d5c59eb1f4a61aeac6deb998002c",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"5f9270e492afaa0d07c4de501ea92b69",0,31,11,0,0,0,3,0,0,0,0,0,0,10,1,0,120,0,0,0,7,0,4,0
"6038cbf29d9df32a9c04c69b9aec44cb",0,0,0,0,0,0,2,1,0,5,0,1,2,0,0,0,0,0,0,0,7,0,0,0
"603be18164bde09818d5345c3442ed43",0,0,0,0,0,0,8,0,3,1,0,0,0,0,6,9,1,0,0,0,3,0,0,0
"60a6e509822b724c7aef5d07e7dd5fa8",0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
"60c3d644187c0e3533afb230533308b5",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"618c0803d74e6f8a76a9ee4b22c57763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"61d31bedcdb022077d75c9c804abb782",0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0
"622229ca182cb54d8b7d3800a52de41c",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6342ef53783c13e0b8fd48000370459c",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2
"634d407fd78c91813eca9ea557e148bb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"64a4120ad60a06da523fc690d3b62003",0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64c217e69e7609aab725bda47022f406",6,24,6,10,7,0,0,0,0,4,20,0,7,2,21,32,49,13,15,21,62,37,26,0
"64c5761da4a82f87b6091e02b1791f15",0,1,0,0,85,0,0,0,0,0,0,0,1,0,0,0,97,0,0,0,0,0,0,0
"64fd6a50605bfdbb323108cc6342a4f5",0,73,1,0,0,0,0,3,274,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0
"652177b74e1009d99f81843a80698de3",1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0,7,0,0,0
"6543568ae01fa1604bc331dd56a0ef35",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"65a82a5c911961c932169c0e220e77b2",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65c3609dc0d57f9ea75f577ce7e1f567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"67380cd1a8cb97e0864b9a3e6daf9575",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"679f6bff21acdb06b4e86fb5401bc873",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67dbb76f582ee5bf148f1cbd5681492d",0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0
"6875c0481fd234d454389a8ed7cc71cf",0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
