"","HPC1463","HPC1464","HPC1465","HPC1466","HPC1467","HPC1468","HPC1471","HPC1472","HPC1473","HPC1474","HPC1475","HPC1476","HPC1477","HPC1478","HPC1479","HPC1480","HPC1483","HPC1486","HPC1487","HPC1490","HPC1483KNZ"
"9257ff2ff456a489b307b29c4958399f",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93043307c86da9894b793b773afda646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,5
"937a2900ceb77e0766b1e02e004a0aae",0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"9392013a098996977701febfc266e733",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93949ed85a779a69a810bbce16aaf3a5",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0
"95db23a57306bc528b998b18bdd3e170",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"9605c5aefb4bb3ee4a3312b5ed2af0ef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
"96358673195cfa8d619a1835c75f8fca",0,3,0,0,0,0,0,116,0,0,0,0,0,3,0,0,0,3,0,0,0
"96c7a1de72529afafdc50e1069d08563",0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"97015c85528071847c1bca543cad479d",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97f48dcce1b129d5c3278b95a30ee9fa",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98c066b4510e653eb43f3726257832a9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"99acfd4c1ad124e31f52036a0e9c0f07",0,4,0,0,0,0,2,0,0,320,16,0,0,0,0,0,0,0,0,0,0
"9aaa60378b2f5e36c3ae7b5d1a332297",0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0
"9ab9c32ce47ae58e04c2b1ddff90e0d6",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9bc1120338b7a6c016602acf4e11955e",0,1,0,3,0,4,1,4,1,0,3,2,0,0,0,0,0,1,0,0,0
"9bc253a31c38698695ef7d1686eb09aa",0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,1,0,0,0,0
"9eedd0a369513c241011f19bfdd14654",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
"9f073c7d9d421aecbccef9482ddaa256",0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,5,0,0,0,0
