"","HPC1491","HPC1492","HPC1493","HPC1494","HPC1495","HPC1496","HPC1497","HPC1498","HPC1500","HPC1501","HPC1502","HPC1503","HPC1504","HPC1506","HPC1507","HPC1512","HPC1515","HPC1517","HPC1518","HPC1519","HPC1520","HPC1518KNZ"
"4243d90941dd5826c6601bd0d628e752",0,0,0,0,2,0,0,3,0,0,1,1,0,0,0,3,0,0,1,0,1,0
"42b95bea338f54f2251b469f8dd6d388",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43c0c64b0402e054e33ce01f58675500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"44479cb98e7734887f0f8cf441aa7285",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
"449411d71eed0ff4804e1aa0984f496a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"44bc67133752a994478480a150ee78f3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"44be4c7bdd680e21b5d6aa4223ed66a9",0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"44fb84495a3bec4529e369e18c8d0165",0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"458f2463fcf02c892df9dfd7927abe46",0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0
"4674f146f001a5d29c36a7f3e5c7dac2",0,11,6,0,0,8,0,0,0,5,0,0,0,0,0,0,0,12,0,0,0,0
"479c85bd49b21ba6a5a00d7b13766555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"47b7cb4025b7d3b0efe74271c4df5ee5",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,3,0,0,0,0,0
"47cdae9ae61c63c2a74fd0f1f322a096",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47d1bafecd5a6e242a809854afc7f580",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"4824e8a9a8a43216b90c456ec5acfc11",0,33,2,8,0,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,6,0
